"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 22:32:14 GMT 2024","Wed Jan 10 22:32:19 GMT 2024","5028","","com.degtyar.FileTests","","com.degtyar.FileTests","downLoadPdf","downLoadPdf()",""
"passed","Wed Jan 10 22:32:14 GMT 2024","Wed Jan 10 22:32:14 GMT 2024","21","","com.degtyar.FileTests","","com.degtyar.FileTests","checkCsvZip","checkCsvZip()",""
"passed","Wed Jan 10 22:32:08 GMT 2024","Wed Jan 10 22:32:13 GMT 2024","5419","","com.degtyar.AnnotationSteps","","com.degtyar.AnnotationSteps","searchIssueAnnotationStepsTest","Поиск issue в репозитории",""
"passed","Wed Jan 10 22:32:14 GMT 2024","Wed Jan 10 22:32:14 GMT 2024","153","","com.degtyar.FileTests","","com.degtyar.FileTests","parseJson","parseJson()",""
"passed","Wed Jan 10 22:32:20 GMT 2024","Wed Jan 10 22:32:22 GMT 2024","2609","","com.degtyar.SearchIssueRepoLambda","","com.degtyar.SearchIssueRepoLambda","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Wed Jan 10 22:32:19 GMT 2024","Wed Jan 10 22:32:20 GMT 2024","295","","com.degtyar.FileTests","","com.degtyar.FileTests","checkZipPdfTest","Проверка PDF",""
"passed","Wed Jan 10 22:32:14 GMT 2024","Wed Jan 10 22:32:14 GMT 2024","600","","com.degtyar.FileTests","","com.degtyar.FileTests","checkXLSZipText","checkXLSZipText()",""
"passed","Wed Jan 10 22:32:22 GMT 2024","Wed Jan 10 22:32:24 GMT 2024","1955","","com.degtyar.SearchIssueRepoLambdaAttachment","","com.degtyar.SearchIssueRepoLambdaAttachment","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Wed Jan 10 22:32:24 GMT 2024","Wed Jan 10 22:32:26 GMT 2024","1943","","com.degtyar.SearchIssueRepoSelenide","","com.degtyar.SearchIssueRepoSelenide","searchIssueTest","searchIssueTest()",""
