"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 12:05:41 GMT 2024","Mon Jan 15 12:05:42 GMT 2024","361","","com.degtyar.FileTests","","com.degtyar.FileTests","checkZipPdfTest","Проверка PDF",""
"failed","Mon Jan 15 12:05:42 GMT 2024","Mon Jan 15 12:05:48 GMT 2024","6604","","com.degtyar.SearchIssueRepoLambda","","com.degtyar.SearchIssueRepoLambda","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Mon Jan 15 12:05:36 GMT 2024","Mon Jan 15 12:05:36 GMT 2024","12","","com.degtyar.FileTests","","com.degtyar.FileTests","checkCsvZip","checkCsvZip()",""
"passed","Mon Jan 15 12:05:35 GMT 2024","Mon Jan 15 12:05:36 GMT 2024","736","","com.degtyar.FileTests","","com.degtyar.FileTests","checkXLSZipText","checkXLSZipText()",""
"passed","Mon Jan 15 12:05:35 GMT 2024","Mon Jan 15 12:05:35 GMT 2024","196","","com.degtyar.FileTests","","com.degtyar.FileTests","parseJson","parseJson()",""
"passed","Mon Jan 15 12:05:36 GMT 2024","Mon Jan 15 12:05:41 GMT 2024","5737","","com.degtyar.FileTests","","com.degtyar.FileTests","downLoadPdf","downLoadPdf()",""
"passed","Mon Jan 15 12:05:48 GMT 2024","Mon Jan 15 12:05:50 GMT 2024","2009","","com.degtyar.SearchIssueRepoLambdaAttachment","","com.degtyar.SearchIssueRepoLambdaAttachment","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Mon Jan 15 12:05:29 GMT 2024","Mon Jan 15 12:05:34 GMT 2024","5549","","com.degtyar.AnnotationSteps","","com.degtyar.AnnotationSteps","searchIssueAnnotationStepsTest","Поиск issue в репозитории",""
"failed","Mon Jan 15 12:05:50 GMT 2024","Mon Jan 15 12:05:57 GMT 2024","6392","","com.degtyar.SearchIssueRepoSelenide","","com.degtyar.SearchIssueRepoSelenide","searchIssueTest","searchIssueTest()",""
