"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 22:38:52 GMT 2024","Wed Jan 10 22:38:57 GMT 2024","5515","","com.degtyar.AnnotationSteps","","com.degtyar.AnnotationSteps","searchIssueAnnotationStepsTest","Поиск issue в репозитории",""
"passed","Wed Jan 10 22:38:58 GMT 2024","Wed Jan 10 22:38:58 GMT 2024","12","","com.degtyar.FileTests","","com.degtyar.FileTests","checkCsvZip","checkCsvZip()",""
"failed","Wed Jan 10 22:39:04 GMT 2024","Wed Jan 10 22:39:11 GMT 2024","6515","","com.degtyar.SearchIssueRepoLambda","","com.degtyar.SearchIssueRepoLambda","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Wed Jan 10 22:38:57 GMT 2024","Wed Jan 10 22:38:58 GMT 2024","146","","com.degtyar.FileTests","","com.degtyar.FileTests","parseJson","parseJson()",""
"passed","Wed Jan 10 22:38:58 GMT 2024","Wed Jan 10 22:38:58 GMT 2024","589","","com.degtyar.FileTests","","com.degtyar.FileTests","checkXLSZipText","checkXLSZipText()",""
"passed","Wed Jan 10 22:39:13 GMT 2024","Wed Jan 10 22:39:15 GMT 2024","2000","","com.degtyar.SearchIssueRepoSelenide","","com.degtyar.SearchIssueRepoSelenide","searchIssueTest","searchIssueTest()",""
"passed","Wed Jan 10 22:39:04 GMT 2024","Wed Jan 10 22:39:04 GMT 2024","312","","com.degtyar.FileTests","","com.degtyar.FileTests","checkZipPdfTest","Проверка PDF",""
"passed","Wed Jan 10 22:39:11 GMT 2024","Wed Jan 10 22:39:13 GMT 2024","2116","","com.degtyar.SearchIssueRepoLambdaAttachment","","com.degtyar.SearchIssueRepoLambdaAttachment","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Wed Jan 10 22:38:58 GMT 2024","Wed Jan 10 22:39:04 GMT 2024","5525","","com.degtyar.FileTests","","com.degtyar.FileTests","downLoadPdf","downLoadPdf()",""
