"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 15 21:15:46 GMT 2024","Mon Jan 15 21:15:53 GMT 2024","6486","","com.degtyar.SearchIssueRepoSelenide","","com.degtyar.SearchIssueRepoSelenide","searchIssueTest","searchIssueTest()",""
"passed","Mon Jan 15 21:15:32 GMT 2024","Mon Jan 15 21:15:32 GMT 2024","130","","com.degtyar.FileTests","","com.degtyar.FileTests","parseJson","parseJson()",""
"passed","Mon Jan 15 21:15:32 GMT 2024","Mon Jan 15 21:15:33 GMT 2024","579","","com.degtyar.FileTests","","com.degtyar.FileTests","checkXLSZipText","checkXLSZipText()",""
"passed","Mon Jan 15 21:15:44 GMT 2024","Mon Jan 15 21:15:46 GMT 2024","2052","","com.degtyar.SearchIssueRepoLambdaAttachment","","com.degtyar.SearchIssueRepoLambdaAttachment","searchIssuelambdaTest","searchIssuelambdaTest()",""
"failed","Mon Jan 15 21:15:38 GMT 2024","Mon Jan 15 21:15:44 GMT 2024","6557","","com.degtyar.SearchIssueRepoLambda","","com.degtyar.SearchIssueRepoLambda","searchIssuelambdaTest","searchIssuelambdaTest()",""
"passed","Mon Jan 15 21:15:33 GMT 2024","Mon Jan 15 21:15:33 GMT 2024","12","","com.degtyar.FileTests","","com.degtyar.FileTests","checkCsvZip","checkCsvZip()",""
"passed","Mon Jan 15 21:15:33 GMT 2024","Mon Jan 15 21:15:38 GMT 2024","4978","","com.degtyar.FileTests","","com.degtyar.FileTests","downLoadPdf","downLoadPdf()",""
"passed","Mon Jan 15 21:15:26 GMT 2024","Mon Jan 15 21:15:31 GMT 2024","5502","","com.degtyar.AnnotationSteps","","com.degtyar.AnnotationSteps","searchIssueAnnotationStepsTest","Поиск issue в репозитории",""
"passed","Mon Jan 15 21:15:38 GMT 2024","Mon Jan 15 21:15:38 GMT 2024","292","","com.degtyar.FileTests","","com.degtyar.FileTests","checkZipPdfTest","Проверка PDF",""
